Country,Freedom2015,Freedom2016,Freedom2017,Freedom2018,Freedom2019,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,Generosity2015,Generosity2016,Generosity2017,Generosity2018,Generosity2019,Government_Corruption2015,Government_Corruption2016,Government_Corruption2017,Government_Corruption2018,Government_Corruption2019,Happiness_Score2015,Happiness_Score2016,Happiness_Score2017,Happiness_Score2018,Happiness_Score2019,Life_Expectancy2015,Life_Expectancy2016,Life_Expectancy2017,Life_Expectancy2018,Life_Expectancy2019,Social_Support2015,Social_Support2016,Social_Support2017,Social_Support2018,Social_Support2019,Happiness2015,Happiness2016,Happiness2017,Happiness2018,Happiness2019
Congo (Kinshasa),0.235961348,0.312,0.269,0.63376,0.55225,0.092102349,0.069,0.094,0.95578,1.06879,0.246455833,0.197,0.212,0.25497,0.22553,0.060241356,0.052,0.053,0.10583,0.10547,4.28000021,4.245,4.418,7.226,7.087,0.191407025,0.204,0.357,0.86027,0.76146,1.229023457,1.136,1.125,1.23788,1.02152,Happy,Happy,Happy,Happy,Happy
Congo (Kinshasa),0.312,0.269,0.63376,0.55225,0.58013165,0.069,0.094,0.95578,1.06879,1.109706283,0.197,0.212,0.25497,0.22553,0.214613229,0.052,0.053,0.10583,0.10547,0.100106589,4.245,4.418,7.226,7.087,7.078999996,0.204,0.357,0.86027,0.76146,0.759509265,1.136,1.125,1.23788,1.02152,1.416403651,Happy,Happy,Happy,Happy,Happy
Congo (Kinshasa),0.269,0.63376,0.55225,0.58013165,0.632,0.094,0.95578,1.06879,1.109706283,1.01,0.212,0.25497,0.22553,0.214613229,0.143,0.053,0.10583,0.10547,0.100106589,0.101,4.418,7.226,7.087,7.078999996,7.072,0.357,0.86027,0.76146,0.759509265,0.817,1.125,1.23788,1.02152,1.416403651,1.459,Happy,Happy,Happy,Happy,Happy
Costa Rica,0.63376,0.55225,0.58013165,0.632,0.558,0.95578,1.06879,1.109706283,1.01,1.034,0.25497,0.22553,0.214613229,0.143,0.144,0.10583,0.10547,0.100106589,0.101,0.093,7.226,7.087,7.078999996,7.072,7.167,0.86027,0.76146,0.759509265,0.817,0.963,1.23788,1.02152,1.416403651,1.459,1.441,Happy,Happy,Happy,Happy,Happy
Costa Rica,0.55225,0.58013165,0.632,0.558,0.25883,1.06879,1.109706283,1.01,1.034,1.08254,0.22553,0.214613229,0.143,0.144,0.05444,0.10547,0.100106589,0.101,0.093,0.0243,7.087,7.078999996,7.072,7.167,5.759,0.76146,0.759509265,0.817,0.963,0.78805,1.02152,1.416403651,1.459,1.441,0.79624,Happy,Happy,Happy,Happy,Happy
Costa Rica,0.58013165,0.632,0.558,0.25883,0.23907,1.109706283,1.01,1.034,1.08254,1.18649,0.214613229,0.143,0.144,0.05444,0.18434,0.100106589,0.101,0.093,0.0243,0.04002,7.078999996,7.072,7.167,5.759,5.488,0.759509265,0.817,0.963,0.78805,0.70524,1.416403651,1.459,1.441,0.79624,0.60809,Happy,Happy,Happy,Happy,Happy
Costa Rica,0.632,0.558,0.25883,0.23907,0.255772293,1.01,1.034,1.08254,1.18649,1.222556233,0.143,0.144,0.05444,0.18434,0.248002976,0.101,0.093,0.0243,0.04002,0.04310311,7.072,7.167,5.759,5.488,5.293000221,0.817,0.963,0.78805,0.70524,0.701288521,1.459,1.441,0.79624,0.60809,0.967983007,Happy,Happy,Happy,Happy,Happy
Costa Rica,0.558,0.25883,0.23907,0.255772293,0.38,1.034,1.08254,1.18649,1.222556233,1.115,0.144,0.05444,0.18434,0.248002976,0.12,0.093,0.0243,0.04002,0.04310311,0.039,7.167,5.759,5.488,5.293000221,5.321,0.963,0.78805,0.70524,0.701288521,0.737,1.441,0.79624,0.60809,0.967983007,1.161,Happy,Happy,Happy,Happy,Happy
Croatia,0.25883,0.23907,0.255772293,0.38,0.296,1.08254,1.18649,1.222556233,1.115,1.155,0.05444,0.18434,0.248002976,0.12,0.119,0.0243,0.04002,0.04310311,0.039,0.022,5.759,5.488,5.293000221,5.321,5.432,0.78805,0.70524,0.701288521,0.737,0.914,0.79624,0.60809,0.967983007,1.161,1.266,Happy,Happy,Happy,Happy,Happy
Croatia,0.23907,0.255772293,0.38,0.296,0.40672,1.18649,1.222556233,1.115,1.155,1.20813,0.18434,0.248002976,0.12,0.119,0.30638,0.04002,0.04310311,0.039,0.022,0.06146,5.488,5.293000221,5.321,5.432,5.689,0.70524,0.701288521,0.737,0.914,0.92356,0.60809,0.967983007,1.161,1.266,0.89318,Happy,Happy,Happy,Happy,Happy
Croatia,0.255772293,0.38,0.296,0.40672,0.29507,1.222556233,1.115,1.155,1.20813,1.31857,0.248002976,0.12,0.119,0.30638,0.27906,0.04310311,0.039,0.022,0.06146,0.05228,5.293000221,5.321,5.432,5.689,5.546,0.701288521,0.737,0.914,0.92356,0.8488,0.967983007,1.161,1.266,0.89318,0.70697,Happy,Happy,Happy,Happy,Happy
Croatia,0.38,0.296,0.40672,0.29507,0.355111539,1.115,1.155,1.20813,1.31857,1.355938077,0.12,0.119,0.30638,0.27906,0.271254301,0.039,0.022,0.06146,0.05228,0.041237976,5.321,5.432,5.689,5.546,5.620999813,0.737,0.914,0.92356,0.8488,0.844714701,1.161,1.266,0.89318,0.70697,1.131363273,Happy,Happy,Happy,Happy,Happy
Croatia,0.296,0.40672,0.29507,0.355111539,0.423,1.155,1.20813,1.31857,1.355938077,1.229,0.119,0.30638,0.27906,0.271254301,0.202,0.022,0.06146,0.05228,0.041237976,0.035,5.432,5.689,5.546,5.620999813,5.762,0.914,0.92356,0.8488,0.844714701,0.909,1.266,0.89318,0.70697,1.131363273,1.191,Happy,Happy,Happy,Happy,Happy
Cyprus,0.40672,0.29507,0.355111539,0.423,0.406,1.20813,1.31857,1.355938077,1.229,1.263,0.30638,0.27906,0.271254301,0.202,0.19,0.06146,0.05228,0.041237976,0.035,0.041,5.689,5.546,5.620999813,5.762,6.046,0.92356,0.8488,0.844714701,0.909,1.042,0.89318,0.70697,1.131363273,1.191,1.223,Happy,Happy,Happy,Happy,Happy
Cyprus,0.29507,0.355111539,0.423,0.406,0.46364,1.31857,1.355938077,1.229,1.263,1.17898,0.27906,0.271254301,0.202,0.19,0.10686,0.05228,0.041237976,0.035,0.041,0.02652,5.546,5.620999813,5.762,6.046,6.505,0.8488,0.844714701,0.909,1.042,0.84483,0.70697,1.131363273,1.191,1.223,1.20643,Happy,Happy,Happy,Happy,Happy
Cyprus,0.355111539,0.423,0.406,0.46364,0.41418,1.355938077,1.229,1.263,1.17898,1.30915,0.271254301,0.202,0.19,0.10686,0.09929,0.041237976,0.035,0.041,0.02652,0.03986,5.620999813,5.762,6.046,6.505,6.596,0.844714701,0.909,1.042,0.84483,0.76376,1.131363273,1.191,1.223,1.20643,1.00793,Happy,Happy,Happy,Happy,Happy
Cyprus,0.423,0.406,0.46364,0.41418,0.490946174,1.229,1.263,1.17898,1.30915,1.352682352,0.202,0.19,0.10686,0.09929,0.088106759,0.035,0.041,0.02652,0.03986,0.036872927,5.762,6.046,6.505,6.596,6.609000206,0.909,1.042,0.84483,0.76376,0.754444003,1.191,1.223,1.20643,1.00793,1.433885217,Happy,Happy,Happy,Happy,Happy
Cyprus,0.406,0.46364,0.41418,0.490946174,0.543,1.263,1.17898,1.30915,1.352682352,1.233,0.19,0.10686,0.09929,0.088106759,0.064,0.041,0.02652,0.03986,0.036872927,0.034,6.046,6.505,6.596,6.609000206,6.711,1.042,0.84483,0.76376,0.754444003,0.854,1.223,1.20643,1.00793,1.433885217,1.489,Happy,Happy,Happy,Happy,Happy
Czech Republic,0.46364,0.41418,0.490946174,0.543,0.457,1.17898,1.30915,1.352682352,1.233,1.269,0.10686,0.09929,0.088106759,0.064,0.046,0.02652,0.03986,0.036872927,0.034,0.036,6.505,6.596,6.609000206,6.711,6.852,0.84483,0.76376,0.754444003,0.854,0.92,1.20643,1.00793,1.433885217,1.489,1.487,Happy,Happy,Happy,Happy,Happy
Czech Republic,0.41418,0.490946174,0.543,0.457,0.64938,1.30915,1.352682352,1.233,1.269,1.32548,0.09929,0.088106759,0.064,0.046,0.34139,0.03986,0.036872927,0.034,0.036,0.48357,6.596,6.609000206,6.711,6.852,7.527,0.76376,0.754444003,0.854,0.92,0.87464,1.00793,1.433885217,1.489,1.487,1.36058,Happy,Happy,Happy,Happy,Happy
Czech Republic,0.490946174,0.543,0.457,0.64938,0.57941,1.352682352,1.233,1.269,1.32548,1.44178,0.088106759,0.064,0.046,0.34139,0.36171,0.036872927,0.034,0.036,0.48357,0.44453,6.609000206,6.711,6.852,7.527,7.526,0.754444003,0.854,0.92,0.87464,0.79504,1.433885217,1.489,1.487,1.36058,1.16374,Happy,Happy,Happy,Happy,Happy
Czech Republic,0.543,0.457,0.64938,0.57941,0.626006722,1.233,1.269,1.32548,1.44178,1.482383013,0.064,0.046,0.34139,0.36171,0.355280489,0.034,0.036,0.48357,0.44453,0.400770068,6.711,6.852,7.527,7.526,7.521999836,0.854,0.92,0.87464,0.79504,0.792565525,1.489,1.487,1.36058,1.16374,1.551121593,Happy,Happy,Happy,Happy,Happy
Czech Republic,0.457,0.64938,0.57941,0.626006722,0.683,1.269,1.32548,1.44178,1.482383013,1.351,0.046,0.34139,0.36171,0.355280489,0.284,0.036,0.48357,0.44453,0.400770068,0.408,6.852,7.527,7.526,7.521999836,7.555,0.92,0.87464,0.79504,0.792565525,0.868,1.487,1.36058,1.16374,1.551121593,1.59,Happy,Happy,Happy,Happy,Happy
Denmark,0.64938,0.57941,0.626006722,0.683,0.592,1.32548,1.44178,1.482383013,1.351,1.383,0.34139,0.36171,0.355280489,0.284,0.252,0.48357,0.44453,0.400770068,0.408,0.41,7.527,7.526,7.521999836,7.555,7.6,0.87464,0.79504,0.792565525,0.868,0.996,1.36058,1.16374,1.551121593,1.59,1.573,Happy,Happy,Happy,Happy,Happy
Denmark,0.57941,0.626006722,0.683,0.592,0.46074,1.44178,1.482383013,1.351,1.383,0.44025,0.36171,0.355280489,0.284,0.252,0.18093,0.44453,0.400770068,0.408,0.41,0.28105,7.526,7.521999836,7.555,7.6,4.369,0.79504,0.792565525,0.868,0.996,0.36291,1.16374,1.551121593,1.59,1.573,0.59207,Happy,Happy,Happy,Happy,Happy
Denmark,0.626006722,0.683,0.592,0.46074,0.57672,1.482383013,1.351,1.383,0.44025,0.89537,0.355280489,0.284,0.252,0.18093,0.21684,0.400770068,0.408,0.41,0.28105,0.14234,7.521999836,7.555,7.6,4.369,4.885,0.792565525,0.868,0.996,0.36291,0.66825,1.551121593,1.59,1.573,0.59207,1.17202,Happy,Happy,Happy,Happy,Happy
Denmark,0.683,0.592,0.46074,0.57672,0.52259,1.351,1.383,0.44025,0.89537,1.02787,0.284,0.252,0.18093,0.21684,0.21286,0.408,0.41,0.28105,0.14234,0.12372,7.555,7.6,4.369,4.885,5.155,0.868,0.996,0.36291,0.66825,0.57669,1.59,1.573,0.59207,1.17202,0.99496,Happy,Happy,Happy,Happy,Happy
Denmark,0.592,0.46074,0.57672,0.52259,0.552589834,1.383,0.44025,0.89537,1.02787,1.079373837,0.252,0.18093,0.21684,0.21286,0.18696785,0.41,0.28105,0.14234,0.12372,0.113945253,7.6,4.369,4.885,5.155,5.230000019,0.996,0.36291,0.66825,0.57669,0.574873745,1.573,0.59207,1.17202,0.99496,1.402416706,Happy,Happy,Happy,Happy,Happy
Djibouti,0.46074,0.57672,0.52259,0.552589834,0.578,0.44025,0.89537,1.02787,1.079373837,0.982,0.18093,0.21684,0.21286,0.18696785,0.12,0.28105,0.14234,0.12372,0.113945253,0.106,4.369,4.885,5.155,5.230000019,5.302,0.36291,0.66825,0.57669,0.574873745,0.614,0.59207,1.17202,0.99496,1.402416706,1.441,Happy,Happy,Happy,Happy,Happy
Dominican Republic,0.57672,0.52259,0.552589834,0.578,0.497,0.89537,1.02787,1.079373837,0.982,1.015,0.21684,0.21286,0.18696785,0.12,0.113,0.14234,0.12372,0.113945253,0.106,0.101,4.885,5.155,5.230000019,5.302,5.425,0.66825,0.57669,0.574873745,0.614,0.779,1.17202,0.99496,1.402416706,1.441,1.401,Happy,Happy,Happy,Happy,Happy
Dominican Republic,0.52259,0.552589834,0.578,0.497,0.48574,1.02787,1.079373837,0.982,1.015,0.86402,0.21286,0.18696785,0.12,0.113,0.11541,0.12372,0.113945253,0.106,0.101,0.1809,5.155,5.230000019,5.302,5.425,5.975,0.57669,0.574873745,0.614,0.779,0.79075,0.99496,1.402416706,1.441,1.401,0.99903,Happy,Happy,Happy,Happy,Happy
Dominican Republic,0.552589834,0.578,0.497,0.48574,0.4027,1.079373837,0.982,1.015,0.86402,0.97306,0.18696785,0.12,0.113,0.11541,0.10074,0.113945253,0.106,0.101,0.1809,0.18037,5.230000019,5.302,5.425,5.975,5.976,0.574873745,0.614,0.779,0.79075,0.68613,1.402416706,1.441,1.401,0.99903,0.85974,Happy,Happy,Happy,Happy,Happy
Dominican Republic,0.578,0.497,0.48574,0.4027,0.455198199,0.982,1.015,0.86402,0.97306,1.000820398,0.12,0.113,0.11541,0.10074,0.150112465,0.106,0.101,0.1809,0.18037,0.140134647,5.302,5.425,5.975,5.976,6.007999897,0.614,0.779,0.79075,0.68613,0.685636222,1.441,1.401,0.99903,0.85974,1.286168814,Happy,Happy,Happy,Happy,Happy
Dominican Republic,0.497,0.48574,0.4027,0.455198199,0.556,1.015,0.86402,0.97306,1.000820398,0.889,0.113,0.11541,0.10074,0.150112465,0.114,0.101,0.1809,0.18037,0.140134647,0.12,5.425,5.975,5.976,6.007999897,5.973,0.779,0.79075,0.68613,0.685636222,0.736,1.401,0.99903,0.85974,1.286168814,1.33,Happy,Happy,Happy,Happy,Happy
Ecuador,0.48574,0.4027,0.455198199,0.556,0.498,0.86402,0.97306,1.000820398,0.889,0.912,0.11541,0.10074,0.150112465,0.114,0.126,0.1809,0.18037,0.140134647,0.12,0.087,5.975,5.976,6.007999897,5.973,6.028,0.79075,0.68613,0.685636222,0.736,0.868,0.99903,0.85974,1.286168814,1.33,1.312,Happy,Happy,Happy,Happy,Happy
Ecuador,0.4027,0.455198199,0.556,0.498,0.17288,0.97306,1.000820398,0.889,0.912,0.8818,0.10074,0.150112465,0.114,0.126,0.11291,0.18037,0.140134647,0.12,0.087,0.06324,5.976,6.007999897,5.973,6.028,4.194,0.68613,0.685636222,0.736,0.868,0.61712,0.85974,1.286168814,1.33,1.312,0.747,Happy,Happy,Happy,Happy,Happy
Ecuador,0.455198199,0.556,0.498,0.17288,0.18847,1.000820398,0.889,0.912,0.8818,0.95395,0.150112465,0.114,0.126,0.11291,0.12706,0.140134647,0.12,0.087,0.06324,0.10393,6.007999897,5.973,6.028,4.194,4.362,0.685636222,0.736,0.868,0.61712,0.52116,1.286168814,1.33,1.312,0.747,0.49813,Happy,Happy,Happy,Happy,Happy
Ecuador,0.556,0.498,0.17288,0.18847,0.282110155,0.889,0.912,0.8818,0.95395,0.989701807,0.114,0.126,0.11291,0.12706,0.128631443,0.12,0.087,0.06324,0.10393,0.114381365,5.973,6.028,4.194,4.362,4.735000134,0.736,0.868,0.61712,0.52116,0.520187259,1.33,1.312,0.747,0.49813,0.997471392,Happy,Happy,Happy,Happy,Happy
Ecuador,0.498,0.17288,0.18847,0.282110155,0.312,0.912,0.8818,0.95395,0.989701807,0.885,0.126,0.11291,0.12706,0.128631443,0.092,0.087,0.06324,0.10393,0.114381365,0.107,6.028,4.194,4.362,4.735000134,4.419,0.868,0.61712,0.52116,0.520187259,0.553,1.312,0.747,0.49813,0.997471392,1.025,Happy,Happy,Happy,Happy,Happy
Egypt,0.17288,0.18847,0.282110155,0.312,0.241,0.8818,0.95395,0.989701807,0.885,0.913,0.11291,0.12706,0.128631443,0.092,0.076,0.06324,0.10393,0.114381365,0.107,0.067,4.194,4.362,4.735000134,4.419,4.166,0.61712,0.52116,0.520187259,0.553,0.644,0.747,0.49813,0.997471392,1.025,1.039,Happy,Happy,Happy,Happy,Happy
Egypt,0.18847,0.282110155,0.312,0.241,0.4035,0.95395,0.989701807,0.885,0.913,0.76454,0.12706,0.128631443,0.092,0.076,0.10692,0.10393,0.114381365,0.107,0.067,0.11776,4.362,4.735000134,4.419,4.166,6.13,0.52116,0.520187259,0.553,0.644,0.67737,0.49813,0.997471392,1.025,1.039,1.02507,Happy,Happy,Happy,Happy,Happy
Egypt,0.282110155,0.312,0.241,0.4035,0.37269,0.989701807,0.885,0.913,0.76454,0.8737,0.128631443,0.092,0.076,0.10692,0.08877,0.114381365,0.107,0.067,0.11776,0.10613,4.735000134,4.419,4.166,6.13,6.068,0.520187259,0.553,0.644,0.67737,0.596,0.997471392,1.025,1.039,1.02507,0.80975,Happy,Happy,Happy,Happy,Happy
Egypt,0.312,0.241,0.4035,0.37269,0.43245253,0.885,0.913,0.76454,0.8737,0.909784496,0.092,0.076,0.10692,0.08877,0.078257985,0.107,0.067,0.11776,0.10613,0.08998096,4.419,4.166,6.13,6.068,6.002999783,0.553,0.644,0.67737,0.596,0.596018553,1.025,1.039,1.02507,0.80975,1.182125092,Happy,Happy,Happy,Happy,Happy
Egypt,0.241,0.4035,0.37269,0.43245253,0.461,0.913,0.76454,0.8737,0.909784496,0.806,0.076,0.10692,0.08877,0.078257985,0.065,0.067,0.11776,0.10613,0.08998096,0.082,4.166,6.13,6.068,6.002999783,6.167,0.644,0.67737,0.596,0.596018553,0.639,1.039,1.02507,0.80975,1.182125092,1.231,Happy,Happy,Happy,Happy,Happy
El Salvador,0.4035,0.37269,0.43245253,0.461,0.43,0.76454,0.8737,0.909784496,0.806,0.794,0.10692,0.08877,0.078257985,0.065,0.093,0.11776,0.10613,0.08998096,0.082,0.074,6.13,6.068,6.002999783,6.167,6.253,0.67737,0.596,0.596018553,0.639,0.789,1.02507,0.80975,1.182125092,1.231,1.242,Happy,Happy,Happy,Happy,Happy
El Salvador,0.37269,0.43245253,0.461,0.43,0.44888,0.8737,0.909784496,0.806,0.794,1.15174,0.08877,0.078257985,0.065,0.093,0.0868,0.10613,0.08998096,0.082,0.074,0.15184,6.068,6.002999783,6.167,6.253,5.429,0.596,0.596018553,0.639,0.789,0.77361,0.80975,1.182125092,1.231,1.242,1.22791,Happy,Happy,Happy,Happy,Happy
El Salvador,0.43245253,0.461,0.43,0.44888,0.41511,0.909784496,0.806,0.794,1.15174,1.27964,0.078257985,0.065,0.093,0.0868,0.08423,0.08998096,0.082,0.074,0.15184,0.18519,6.002999783,6.167,6.253,5.429,5.517,0.596018553,0.639,0.789,0.77361,0.68098,1.182125092,1.231,1.242,1.22791,1.05163,Happy,Happy,Happy,Happy,Happy
El Salvador,0.461,0.43,0.44888,0.41511,0.47913143,0.806,0.794,1.15174,1.27964,1.32087934,0.065,0.093,0.0868,0.08423,0.098890811,0.082,0.074,0.15184,0.18519,0.183248922,6.167,6.253,5.429,5.517,5.611000061,0.639,0.789,0.77361,0.68098,0.695168316,1.231,1.242,1.22791,1.05163,1.4766711,Happy,Happy,Happy,Happy,Happy
El Salvador,0.43,0.44888,0.41511,0.47913143,0.553,0.794,1.15174,1.27964,1.32087934,1.2,0.093,0.0868,0.08423,0.098890811,0.086,0.074,0.15184,0.18519,0.183248922,0.174,6.253,5.429,5.517,5.611000061,5.739,0.789,0.77361,0.68098,0.695168316,0.737,1.242,1.22791,1.05163,1.4766711,1.532,Happy,Happy,Happy,Happy,Happy
Estonia,0.44888,0.41511,0.47913143,0.553,0.495,1.15174,1.27964,1.32087934,1.2,1.237,0.0868,0.08423,0.098890811,0.086,0.103,0.15184,0.18519,0.183248922,0.174,0.161,5.429,5.517,5.611000061,5.739,5.893,0.77361,0.68098,0.695168316,0.737,0.874,1.22791,1.05163,1.4766711,1.532,1.528,Happy,Happy,Happy,Happy,Happy
Estonia,0.41511,0.47913143,0.553,0.495,0.4345,1.27964,1.32087934,1.2,1.237,0.19073,0.08423,0.098890811,0.086,0.103,0.24325,0.18519,0.183248922,0.174,0.161,0.15048,5.517,5.611000061,5.739,5.893,4.512,0.68098,0.695168316,0.737,0.874,0.44055,1.05163,1.4766711,1.532,1.528,0.60406,Happy,Happy,Happy,Happy,Happy
Estonia,0.47913143,0.553,0.495,0.4345,0.36703,1.32087934,1.2,1.237,0.19073,0.29283,0.098890811,0.086,0.103,0.24325,0.29522,0.183248922,0.174,0.161,0.15048,0.1717,5.611000061,5.739,5.893,4.512,4.508,0.695168316,0.737,0.874,0.44055,0.34578,1.4766711,1.532,1.528,0.60406,0.37932,Happy,Happy,Happy,Happy,Happy
Estonia,0.553,0.495,0.4345,0.36703,0.408842742,1.2,1.237,0.19073,0.29283,0.339233845,0.086,0.103,0.24325,0.29522,0.31265074,0.174,0.161,0.15048,0.1717,0.165455714,5.739,5.893,4.512,4.508,4.460000038,0.737,0.874,0.44055,0.34578,0.353409708,1.532,1.528,0.60406,0.37932,0.864669204,Happy,Happy,Happy,Happy,Happy
Estonia,0.495,0.4345,0.36703,0.408842742,0.452,1.237,0.19073,0.29283,0.339233845,0.308,0.103,0.24325,0.29522,0.31265074,0.22,0.161,0.15048,0.1717,0.165455714,0.146,5.893,4.512,4.508,4.460000038,4.35,0.874,0.44055,0.34578,0.353409708,0.391,1.528,0.60406,0.37932,0.864669204,0.95,Happy,Happy,Happy,Happy,Happy
Ethiopia,0.4345,0.36703,0.408842742,0.452,0.344,0.19073,0.29283,0.339233845,0.308,0.336,0.24325,0.29522,0.31265074,0.22,0.209,0.15048,0.1717,0.165455714,0.146,0.1,4.512,4.508,4.460000038,4.35,4.286,0.44055,0.34578,0.353409708,0.391,0.532,0.60406,0.37932,0.864669204,0.95,1.033,Happy,Happy,Happy,Happy,Happy
Ethiopia,0.36703,0.408842742,0.452,0.344,0.64169,0.29283,0.339233845,0.308,0.336,1.29025,0.29522,0.31265074,0.22,0.209,0.23351,0.1717,0.165455714,0.146,0.1,0.41372,4.508,4.460000038,4.35,4.286,7.406,0.34578,0.353409708,0.391,0.532,0.88911,0.37932,0.864669204,0.95,1.033,1.31826,Happy,Happy,Happy,Happy,Happy
Ethiopia,0.408842742,0.452,0.344,0.64169,0.57104,0.339233845,0.308,0.336,1.29025,1.40598,0.31265074,0.22,0.209,0.23351,0.25492,0.165455714,0.146,0.1,0.41372,0.41004,4.460000038,4.35,4.286,7.406,7.413,0.353409708,0.391,0.532,0.88911,0.81091,0.864669204,0.95,1.033,1.31826,1.13464,Happy,Happy,Happy,Happy,Happy
Ethiopia,0.452,0.344,0.64169,0.57104,0.617950857,0.308,0.336,1.29025,1.40598,1.443571925,0.22,0.209,0.23351,0.25492,0.245482773,0.146,0.1,0.41372,0.41004,0.382611543,4.35,4.286,7.406,7.413,7.468999863,0.391,0.532,0.88911,0.81091,0.80915767,0.95,1.033,1.31826,1.13464,1.540246725,Happy,Happy,Happy,Happy,Happy
Ethiopia,0.344,0.64169,0.57104,0.617950857,0.681,0.336,1.29025,1.40598,1.443571925,1.305,0.209,0.23351,0.25492,0.245482773,0.202,0.1,0.41372,0.41004,0.382611543,0.393,4.286,7.406,7.413,7.468999863,7.632,0.532,0.88911,0.81091,0.80915767,0.874,1.033,1.31826,1.13464,1.540246725,1.592,Happy,Happy,Happy,Happy,Happy
Finland,0.64169,0.57104,0.617950857,0.681,0.596,1.29025,1.40598,1.443571925,1.305,1.34,0.23351,0.25492,0.245482773,0.202,0.153,0.41372,0.41004,0.382611543,0.393,0.393,7.406,7.413,7.468999863,7.632,7.769,0.88911,0.81091,0.80915767,0.874,0.986,1.31826,1.13464,1.540246725,1.592,1.587,Happy,Happy,Happy,Happy,Happy
Finland,0.57104,0.617950857,0.681,0.596,0.55011,1.40598,1.443571925,1.305,1.34,1.27778,0.25492,0.245482773,0.202,0.153,0.12332,0.41004,0.382611543,0.393,0.393,0.20646,7.413,7.468999863,7.632,7.769,6.575,0.81091,0.80915767,0.874,0.986,0.94579,1.13464,1.540246725,1.592,1.587,1.26038,Happy,Happy,Happy,Happy,Happy
Finland,0.617950857,0.681,0.596,0.55011,0.46562,1.443571925,1.305,1.34,1.27778,1.39488,0.245482773,0.202,0.153,0.12332,0.1216,0.382611543,0.393,0.393,0.20646,0.17808,7.468999863,7.632,7.769,6.575,6.478,0.80915767,0.874,0.986,0.94579,0.83795,1.540246725,1.592,1.587,1.26038,1.00508,Happy,Happy,Happy,Happy,Happy
Finland,0.681,0.596,0.55011,0.46562,0.470222116,1.305,1.34,1.27778,1.39488,1.430923462,0.202,0.153,0.12332,0.1216,0.129762307,0.393,0.393,0.20646,0.17808,0.172502428,7.632,7.769,6.575,6.478,6.441999912,0.874,0.986,0.94579,0.83795,0.844465852,1.592,1.587,1.26038,1.00508,1.387776852,Happy,Happy,Happy,Happy,Happy
Finland,0.596,0.55011,0.46562,0.470222116,0.52,1.34,1.27778,1.39488,1.430923462,1.293,0.153,0.12332,0.1216,0.129762307,0.098,0.393,0.20646,0.17808,0.172502428,0.176,7.769,6.575,6.478,6.441999912,6.489,0.986,0.94579,0.83795,0.844465852,0.908,1.587,1.26038,1.00508,1.387776852,1.466,Happy,Happy,Happy,Happy,Happy
France,0.55011,0.46562,0.470222116,0.52,0.436,1.27778,1.39488,1.430923462,1.293,1.324,0.12332,0.1216,0.129762307,0.098,0.111,0.20646,0.17808,0.172502428,0.176,0.183,6.575,6.478,6.441999912,6.489,6.592,0.94579,0.83795,0.844465852,0.908,1.045,1.26038,1.00508,1.387776852,1.466,1.472,Happy,Happy,Happy,Happy,Happy
France,0.46562,0.470222116,0.52,0.436,0.31914,1.39488,1.430923462,1.293,1.324,1.06024,0.1216,0.129762307,0.098,0.111,0.06822,0.17808,0.172502428,0.176,0.183,0.11091,6.478,6.441999912,6.489,6.592,3.896,0.83795,0.844465852,0.908,1.045,0.43372,1.00508,1.387776852,1.466,1.472,0.90528,Happy,Happy,Happy,Happy,NotHappy
France,0.470222116,0.52,0.436,0.31914,0.28098,1.430923462,1.293,1.324,1.06024,1.15851,0.129762307,0.098,0.111,0.06822,0.06244,0.172502428,0.176,0.183,0.11091,0.09314,6.441999912,6.489,6.592,3.896,4.121,0.844465852,0.908,1.045,0.43372,0.3494,1.387776852,1.466,1.472,0.90528,0.72368,Happy,Happy,Happy,NotHappy,Happy
France,0.52,0.436,0.31914,0.28098,0.312328577,1.293,1.324,1.06024,1.15851,1.198210239,0.098,0.111,0.06822,0.06244,0.043785378,0.176,0.183,0.11091,0.09314,0.076046787,6.489,6.592,3.896,4.121,4.465000153,0.908,1.045,0.43372,0.3494,0.356578588,1.466,1.472,0.90528,0.72368,1.155620217,Happy,Happy,NotHappy,Happy,Happy
France,0.436,0.31914,0.28098,0.312328577,0.356,1.324,1.06024,1.15851,1.198210239,1.036,0.111,0.06822,0.06244,0.043785378,0.032,0.183,0.11091,0.09314,0.076046787,0.052,6.592,3.896,4.121,4.465000153,4.758,1.045,0.43372,0.3494,0.356578588,0.404,1.472,0.90528,0.72368,1.155620217,1.164,Happy,NotHappy,Happy,Happy,Happy
Gabon,0.31914,0.28098,0.312328577,0.356,0.295,1.06024,1.15851,1.198210239,1.036,1.057,0.06822,0.06244,0.043785378,0.032,0.043,0.11091,0.09314,0.076046787,0.052,0.055,3.896,4.121,4.465000153,4.758,4.799,0.43372,0.3494,0.356578588,0.404,0.571,0.90528,0.72368,1.155620217,1.164,1.183,NotHappy,Happy,Happy,Happy,Happy
Gabon,0.28098,0.312328577,0.356,0.295,0.382,1.15851,1.198210239,1.036,1.057,0.308,0.06244,0.043785378,0.032,0.043,0.269,0.09314,0.076046787,0.052,0.055,0.167,4.121,4.465000153,4.758,4.799,4.516,0.3494,0.356578588,0.404,0.571,0.428,0.72368,1.155620217,1.164,1.183,0.939,Happy,Happy,Happy,Happy,Happy
