Country,Freedom2015,Freedom2016,Freedom2017,Freedom2018,Freedom2019,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,Generosity2015,Generosity2016,Generosity2017,Generosity2018,Generosity2019,Government_Corruption2015,Government_Corruption2016,Government_Corruption2017,Government_Corruption2018,Government_Corruption2019,Happiness_Score2015,Happiness_Score2016,Happiness_Score2017,Happiness_Score2018,Happiness_Score2019,Life_Expectancy2015,Life_Expectancy2016,Life_Expectancy2017,Life_Expectancy2018,Life_Expectancy2019,Social_Support2015,Social_Support2016,Social_Support2017,Social_Support2018,Social_Support2019,Happiness2015,Happiness2016,Happiness2017,Happiness2018,Happiness2019
Armenia,0.198303267,0.26,0.283,0.65124,0.56837,0.900596738,0.816,0.85,1.33358,1.44443,0.083488092,0.077,0.095,0.43562,0.47407,0.026674422,0.028,0.064,0.35637,0.32331,4.375999928,4.321,4.559,7.284,7.313,0.637524426,0.666,0.815,0.93156,0.8512,1.007483721,0.99,1.055,1.30923,1.10476,Happy,Happy,Happy,Happy,Happy
Armenia,0.26,0.283,0.65124,0.56837,0.601607382,0.816,0.85,1.33358,1.44443,1.484414935,0.077,0.095,0.43562,0.47407,0.47769925,0.028,0.064,0.35637,0.32331,0.30118373,4.321,4.559,7.284,7.313,7.28399992,0.666,0.815,0.93156,0.8512,0.843886793,0.99,1.055,1.30923,1.10476,1.510041952,Happy,Happy,Happy,Happy,Happy
Armenia,0.283,0.65124,0.56837,0.601607382,0.647,0.85,1.33358,1.44443,1.484414935,1.34,0.095,0.43562,0.47407,0.47769925,0.361,0.064,0.35637,0.32331,0.30118373,0.302,4.559,7.284,7.313,7.28399992,7.272,0.815,0.93156,0.8512,0.843886793,0.91,1.055,1.30923,1.10476,1.510041952,1.573,Happy,Happy,Happy,Happy,Happy
Australia,0.65124,0.56837,0.601607382,0.647,0.557,1.33358,1.44443,1.484414935,1.34,1.372,0.43562,0.47407,0.47769925,0.361,0.332,0.35637,0.32331,0.30118373,0.302,0.29,7.284,7.313,7.28399992,7.272,7.228,0.93156,0.8512,0.843886793,0.91,1.036,1.30923,1.10476,1.510041952,1.573,1.548,Happy,Happy,Happy,Happy,Happy
Australia,0.56837,0.601607382,0.647,0.557,0.62433,1.44443,1.484414935,1.34,1.372,1.33723,0.47407,0.47769925,0.361,0.332,0.33088,0.32331,0.30118373,0.302,0.29,0.18676,7.313,7.28399992,7.272,7.228,7.2,0.8512,0.843886793,0.91,1.036,0.89042,1.10476,1.510041952,1.573,1.548,1.29704,Happy,Happy,Happy,Happy,Happy
Australia,0.601607382,0.647,0.557,0.62433,0.54355,1.484414935,1.34,1.372,1.33723,1.45038,0.47769925,0.361,0.332,0.33088,0.32865,0.30118373,0.302,0.29,0.18676,0.21348,7.28399992,7.272,7.228,7.2,7.119,0.843886793,0.91,1.036,0.89042,0.80565,1.510041952,1.573,1.548,1.29704,1.08383,Happy,Happy,Happy,Happy,Happy
Australia,0.647,0.557,0.62433,0.54355,0.56776619,1.34,1.372,1.33723,1.45038,1.487097263,0.361,0.332,0.33088,0.32865,0.316472322,0.302,0.29,0.18676,0.21348,0.221060365,7.272,7.228,7.2,7.119,7.006000042,0.91,1.036,0.89042,0.80565,0.815328419,1.573,1.548,1.29704,1.08383,1.459944963,Happy,Happy,Happy,Happy,Happy
Australia,0.557,0.62433,0.54355,0.56776619,0.617,1.372,1.33723,1.45038,1.487097263,1.341,0.332,0.33088,0.32865,0.316472322,0.242,0.29,0.18676,0.21348,0.221060365,0.224,7.228,7.2,7.119,7.006000042,7.139,1.036,0.89042,0.80565,0.815328419,0.891,1.548,1.29704,1.08383,1.459944963,1.504,Happy,Happy,Happy,Happy,Happy
Austria,0.62433,0.54355,0.56776619,0.617,0.532,1.33723,1.45038,1.487097263,1.341,1.376,0.33088,0.32865,0.316472322,0.242,0.244,0.18676,0.21348,0.221060365,0.224,0.226,7.2,7.119,7.006000042,7.139,7.246,0.89042,0.80565,0.815328419,0.891,1.016,1.29704,1.08383,1.459944963,1.504,1.475,Happy,Happy,Happy,Happy,Happy
Austria,0.54355,0.56776619,0.617,0.532,0.3703,1.45038,1.487097263,1.341,1.376,1.02389,0.32865,0.316472322,0.242,0.244,0.07799,0.21348,0.221060365,0.224,0.226,0.16065,7.119,7.006000042,7.139,7.246,5.212,0.80565,0.815328419,0.891,1.016,0.64045,1.08383,1.459944963,1.504,1.475,0.93793,Happy,Happy,Happy,Happy,Happy
Austria,0.56776619,0.617,0.532,0.3703,0.35327,1.487097263,1.341,1.376,1.02389,1.12373,0.316472322,0.242,0.244,0.07799,0.0564,0.221060365,0.224,0.226,0.16065,0.17914,7.006000042,7.139,7.246,5.212,5.291,0.815328419,0.891,1.016,0.64045,0.54504,1.459944963,1.504,1.475,0.93793,0.76042,Happy,Happy,Happy,Happy,Happy
Austria,0.617,0.532,0.3703,0.35327,0.398155838,1.341,1.376,1.02389,1.12373,1.153601766,0.242,0.244,0.07799,0.0564,0.04526934,0.224,0.226,0.16065,0.17914,0.180987507,7.139,7.246,5.212,5.291,5.234000206,0.891,1.016,0.64045,0.54504,0.540775776,1.504,1.475,0.93793,0.76042,1.152400255,Happy,Happy,Happy,Happy,Happy
Austria,0.532,0.3703,0.35327,0.398155838,0.43,1.376,1.02389,1.12373,1.153601766,1.024,0.244,0.07799,0.0564,0.04526934,0.031,0.226,0.16065,0.17914,0.180987507,0.176,7.246,5.212,5.291,5.234000206,5.201,1.016,0.64045,0.54504,0.540775776,0.603,1.475,0.93793,0.76042,1.152400255,1.161,Happy,Happy,Happy,Happy,Happy
Azerbaijan,0.3703,0.35327,0.398155838,0.43,0.351,1.02389,1.12373,1.153601766,1.024,1.043,0.07799,0.0564,0.04526934,0.031,0.035,0.16065,0.17914,0.180987507,0.176,0.182,5.212,5.291,5.234000206,5.201,5.208,0.64045,0.54504,0.540775776,0.603,0.769,0.93793,0.76042,1.152400255,1.161,1.147,Happy,Happy,Happy,Happy,Happy
Azerbaijan,0.35327,0.398155838,0.43,0.351,0.45492,1.12373,1.153601766,1.024,1.043,1.32376,0.0564,0.04526934,0.031,0.035,0.17362,0.17914,0.180987507,0.176,0.182,0.306,5.291,5.234000206,5.201,5.208,5.96,0.54504,0.540775776,0.603,0.769,0.74716,0.76042,1.152400255,1.161,1.147,1.21624,Happy,Happy,Happy,Happy,Happy
