Country,Freedom,GDP,Generosity,Government_Corruption,Happiness_Score,Life_Expectancy,Social_Support,Year,Happiness
Turkmenistan,0.4761,0.95847,0.16979,0.30844,5.548,0.53886,1.22668,2015,Happy
Mauritius,0.56066,1.00761,0.37744,0.07521,5.477,0.7095,0.98521,2015,Happy
Hong Kong,0.59608,1.38604,0.39478,0.37124,5.474,1.01328,1.05818,2015,Happy
Estonia,0.44888,1.15174,0.0868,0.15184,5.429,0.77361,1.22791,2015,Happy
Indonesia,0.46611,0.82827,0.51535,0,5.399,0.63793,1.08708,2015,Happy
Vietnam,0.59444,0.63216,0.1686,0.10441,5.36,0.74676,0.91226,2015,Happy
Turkey,0.22815,1.06098,0.12253,0.15746,5.332,0.73172,0.94632,2015,Happy
Kyrgyzstan,0.43477,0.47428,0.3003,0.04232,5.286,0.65088,1.15115,2015,Happy
Nigeria,0.34334,0.65435,0.27233,0.0403,5.268,0.16007,0.90432,2015,Happy
Bhutan,0.53206,0.77042,0.47998,0.15445,5.253,0.57407,1.10395,2015,Happy
Azerbaijan,0.3703,1.02389,0.07799,0.16065,5.212,0.64045,0.93793,2015,Happy
Pakistan,0.12102,0.59543,0.33671,0.10464,5.194,0.51466,0.41411,2015,Happy
Jordan,0.40661,0.90198,0.11053,0.14293,5.192,0.69639,1.05392,2015,Happy
Montenegro,0.1826,0.97438,0.1614,0.14296,5.192,0.72521,0.90557,2015,Happy
China,0.51697,0.89012,0.08185,0.02781,5.14,0.81658,0.94675,2015,Happy
Zambia,0.48827,0.47038,0.19591,0.12468,5.129,0.29924,0.91612,2015,Happy
Romania,0.35068,1.04345,0.13748,0.00649,5.124,0.7689,0.88588,2015,Happy
Serbia,0.20107,0.92053,0.19231,0.02617,5.123,0.74836,1.00964,2015,Happy
Portugal,0.51469,1.15991,0.13719,0.01078,5.102,0.87519,1.13935,2015,Happy
Latvia,0.29671,1.11312,0.18226,0.06332,5.098,0.72437,1.09562,2015,Happy
Philippines,0.62545,0.70532,0.24991,0.12279,5.073,0.58114,1.03516,2015,Happy
Somaliland region,0.46582,0.18847,0.50318,0.39928,5.057,0.43873,0.95152,2015,Happy
Morocco,0.41691,0.73479,0.07172,0.08546,5.013,0.60954,0.64095,2015,Happy
Macedonia,0.33457,0.91851,0.22359,0.05327,5.007,0.73545,1.00232,2015,Happy
Mozambique,0.34037,0.08308,0.22269,0.15603,4.971,0.09131,1.02626,2015,Happy
Albania,0.35733,0.87867,0.14272,0.06413,4.959,0.81325,0.80434,2015,Happy
Bosnia and Herzegovina,0.09245,0.83223,0.24808,0.00227,4.949,0.79081,0.91916,2015,Happy
Lesotho,0.31767,0.37545,0.16388,0.12504,4.898,0.07612,1.04103,2015,Happy
Dominican Republic,0.57672,0.89537,0.21684,0.14234,4.885,0.66825,1.17202,2015,Happy
Laos,0.59591,0.59066,0.42192,0.24249,4.876,0.54909,0.73803,2015,Happy
Mongolia,0.43626,0.82819,0.3323,0.02666,4.874,0.60268,1.3006,2015,Happy
Swaziland,0.30658,0.71206,0.18259,0.0306,4.867,0.07566,1.07284,2015,Happy
Greece,0.07699,1.15406,0,0.01397,4.857,0.88213,0.92933,2015,Happy
Lebanon,0.33916,1.02564,0.21854,0.04582,4.839,0.83947,0.80001,2015,Happy
Hungary,0.32112,1.12094,0.128,0.02758,4.8,0.75905,1.20215,2015,Happy
Honduras,0.40148,0.59532,0.23027,0.06825,4.788,0.6951,0.95348,2015,Happy
Tajikistan,0.47216,0.39047,0.22974,0.15072,4.786,0.57379,0.85563,2015,Happy
Tunisia,0.26268,0.88113,0.06431,0.06358,4.739,0.73793,0.60429,2015,Happy
Palestinian Territories,0.24499,0.59867,0.11251,0.12905,4.715,0.66015,0.92558,2015,Happy
Bangladesh,0.4082,0.39753,0.21222,0.12569,4.694,0.60164,0.43106,2015,Happy
Iran,0.30033,1.0088,0.38086,0.05863,4.686,0.69805,0.54447,2015,Happy
Ukraine,0.25123,0.79907,0.15275,0.02961,4.681,0.6739,1.20278,2015,Happy
Iraq,0,0.98549,0.17922,0.13788,4.677,0.60237,0.81889,2015,Happy
South Africa,0.33207,0.92049,0.11973,0.08884,4.642,0.27688,1.18468,2015,Happy
Ghana,0.42342,0.54558,0.23087,0.04355,4.633,0.40132,0.67954,2015,Happy
Zimbabwe,0.25861,0.271,0.18987,0.08079,4.61,0.33475,1.03276,2015,Happy
Liberia,0.28531,0.0712,0.24362,0.06232,4.571,0.34201,0.78968,2015,Happy
India,0.39786,0.64499,0.26475,0.08492,4.565,0.51529,0.38174,2015,Happy
Sudan,0.10081,0.52107,0.19062,0.1466,4.55,0.36878,1.01404,2015,Happy
Haiti,0.24425,0.26673,0.46187,0.17175,4.518,0.38847,0.74302,2015,Happy
Congo (Kinshasa),0.22605,0,0.24834,0.07625,4.517,0.09806,1.0012,2015,Happy
Nepal,0.38282,0.35997,0.32296,0.05907,4.514,0.56874,0.86449,2015,Happy
Ethiopia,0.4345,0.19073,0.24325,0.15048,4.512,0.44055,0.60406,2015,Happy
Sierra Leone,0.4084,0.33024,0.21488,0.08786,4.507,0,0.95571,2015,Happy
Mauritania,0.24232,0.45407,0.219,0.17461,4.436,0.35874,0.86908,2015,Happy
Kenya,0.42215,0.36471,0.37542,0.05839,4.419,0.41435,0.99876,2015,Happy
Djibouti,0.46074,0.44025,0.18093,0.28105,4.369,0.36291,0.59207,2015,Happy
Armenia,0.19847,0.76821,0.07855,0.039,4.35,0.7299,0.77711,2015,Happy
Botswana,0.49495,0.99355,0.10461,0.12474,4.332,0.04776,1.10464,2015,Happy
Myanmar,0.44017,0.27108,0.79588,0.19034,4.307,0.48246,0.70905,2015,Happy
Georgia,0.40577,0.7419,0.05547,0.38331,4.297,0.72926,0.38562,2015,Happy
Malawi,0.43054,0.01604,0.33128,0.06977,4.292,0.22562,0.41134,2015,Happy
Sri Lanka,0.53726,0.83524,0.40828,0.09179,4.271,0.70806,1.01905,2015,Happy
Cameroon,0.49309,0.4225,0.20618,0.05786,4.252,0.23402,0.88767,2015,Happy
Bulgaria,0.30587,1.01216,0.11921,0.00872,4.218,0.76649,1.10614,2015,Happy
Egypt,0.17288,0.8818,0.11291,0.06324,4.194,0.61712,0.747,2015,Happy
Yemen,0.35571,0.54649,0.09131,0.07854,4.077,0.40064,0.68093,2015,Happy
Angola,0.10384,0.75778,0.12344,0.07122,4.033,0.16683,0.8604,2015,Happy
Mali,0.38857,0.26074,0.18798,0.12352,3.995,0.20583,1.03526,2015,NotHappy
Congo (Brazzaville),0.41466,0.67866,0.12388,0.11686,3.989,0.31051,0.6629,2015,NotHappy
Comoros,0.22917,0.23906,0.17441,0.199,3.956,0.36315,0.79273,2015,NotHappy
Uganda,0.45727,0.21102,0.29066,0.07267,3.931,0.33861,1.13299,2015,NotHappy
Senegal,0.36772,0.36498,0.20843,0.10713,3.904,0.4354,0.97619,2015,NotHappy
Gabon,0.31914,1.06024,0.06822,0.11091,3.896,0.43372,0.90528,2015,NotHappy
Niger,0.47692,0.0694,0.19387,0.15639,3.845,0.29707,0.77265,2015,NotHappy
Cambodia,0.66246,0.46038,0.40359,0.07247,3.819,0.61114,0.62736,2015,NotHappy
Tanzania,0.32878,0.2852,0.34377,0.05747,3.781,0.38215,1.00268,2015,NotHappy
Madagascar,0.19184,0.20824,0.21333,0.08124,3.681,0.46721,0.66801,2015,NotHappy
Central African Republic,0.48879,0.0785,0.23835,0.08289,3.678,0.06699,0,2015,NotHappy
Chad,0.23501,0.34193,0.18386,0.05269,3.667,0.1501,0.76062,2015,NotHappy
Guinea,0.37725,0.17417,0.28657,0.12139,3.656,0.24009,0.46475,2015,NotHappy
Ivory Coast,0.46866,0.46534,0.20165,0.17922,3.655,0.15185,0.77115,2015,NotHappy
Burkina Faso,0.39493,0.25812,0.21747,0.12832,3.587,0.27125,0.85188,2015,NotHappy
Afghanistan,0.23414,0.31982,0.3651,0.09719,3.575,0.30335,0.30285,2015,NotHappy
Rwanda,0.59201,0.22208,0.22628,0.55191,3.465,0.42864,0.7737,2015,NotHappy
Benin,0.4845,0.28665,0.1826,0.0801,3.34,0.3191,0.35386,2015,NotHappy
Syria,0.15684,0.6632,0.47179,0.18906,3.006,0.72193,0.47489,2015,NotHappy
Burundi,0.1185,0.0153,0.19727,0.10062,2.905,0.22396,0.41587,2015,NotHappy
Togo,0.36453,0.20868,0.16681,0.10731,2.839,0.28443,0.13995,2015,NotHappy
Denmark,0.57941,1.44178,0.36171,0.44453,7.526,0.79504,1.16374,2016,Happy
Switzerland,0.58557,1.52733,0.28083,0.41203,7.509,0.86303,1.14524,2016,Happy
Iceland,0.56624,1.42666,0.47678,0.14975,7.501,0.86733,1.18326,2016,Happy
Norway,0.59609,1.57744,0.37895,0.35776,7.498,0.79579,1.1269,2016,Happy
Finland,0.57104,1.40598,0.25492,0.41004,7.413,0.81091,1.13464,2016,Happy
Canada,0.5737,1.44015,0.44834,0.31329,7.404,0.8276,1.0961,2016,Happy
Netherlands,0.55211,1.46468,0.47416,0.29927,7.339,0.81231,1.02912,2016,Happy
New Zealand,0.58147,1.36066,0.49401,0.41904,7.334,0.83096,1.17278,2016,Happy
Australia,0.56837,1.44443,0.47407,0.32331,7.313,0.8512,1.10476,2016,Happy
Sweden,0.58218,1.45181,0.38254,0.40867,7.291,0.83121,1.08764,2016,Happy
Israel,0.36432,1.33766,0.32288,0.08728,7.267,0.84917,0.99537,2016,Happy
Austria,0.54355,1.45038,0.32865,0.21348,7.119,0.80565,1.08383,2016,Happy
United States,0.48163,1.50796,0.41077,0.14868,7.104,0.779,1.04782,2016,Happy
Costa Rica,0.55225,1.06879,0.22553,0.10547,7.087,0.76146,1.02152,2016,Happy
Puerto Rico,0.46823,1.35943,0.22202,0.12275,7.039,0.77758,1.08113,2016,Happy
Germany,0.53466,1.44787,0.30452,0.28551,6.994,0.81487,1.09774,2016,Happy
Brazil,0.40425,1.08754,0.15776,0.14166,6.952,0.61415,1.03938,2016,Happy
Belgium,0.51354,1.42539,0.2424,0.26248,6.929,0.81959,1.05249,2016,Happy
Ireland,0.54008,1.48341,0.44963,0.29754,6.907,0.81455,1.16157,2016,Happy
Luxembourg,0.5487,1.69752,0.27571,0.35329,6.871,0.84542,1.03999,2016,Happy
Mexico,0.37709,1.11508,0.11735,0.18355,6.778,0.71143,0.7146,2016,Happy
Singapore,0.4877,1.64555,0.32706,0.46987,6.739,0.94719,0.86758,2016,Happy
United Kingdom,0.50036,1.40283,0.50156,0.27399,6.725,0.80991,1.08672,2016,Happy
Chile,0.37789,1.2167,0.31595,0.11451,6.705,0.81883,0.90587,2016,Happy
Panama,0.48927,1.18306,0.2418,0.08423,6.701,0.70835,0.98912,2016,Happy
Argentina,0.42284,1.15137,0.10989,0.07296,6.65,0.69711,1.06612,2016,Happy
Czech Republic,0.41418,1.30915,0.09929,0.03986,6.596,0.76376,1.00793,2016,Happy
United Arab Emirates,0.56215,1.57352,0.26591,0.35561,6.573,0.72993,0.87114,2016,Happy
Uruguay,0.54388,1.18157,0.18056,0.21394,6.545,0.72183,1.03143,2016,Happy
Malta,0.54994,1.30782,0.56237,0.17554,6.488,0.80315,1.09879,2016,Happy
