Country,Freedom,GDP,Generosity,Government_Corruption,Happiness_Score,Life_Expectancy,Social_Support,Year,Happiness
Ivory Coast,0.40663,0.55507,0.20338,0.1553,3.916,0.04476,0.57576,2016,NotHappy
Cambodia,0.58852,0.55604,0.40339,0.08092,3.907,0.42494,0.5375,2016,NotHappy
Angola,0.00589,0.84731,0.12071,0.08434,3.866,0.04991,0.66366,2016,NotHappy
Niger,0.38041,0.1327,0.2097,0.17176,3.856,0.26162,0.6053,2016,NotHappy
South Sudan,0.19662,0.39394,0.25899,0.13015,3.832,0.15781,0.18519,2016,NotHappy
Chad,0.12807,0.42214,0.18667,0.04952,3.763,0.03824,0.63178,2016,NotHappy
Burkina Faso,0.3337,0.31995,0.24353,0.12533,3.739,0.21297,0.63054,2016,NotHappy
Uganda,0.43653,0.34719,0.27102,0.06442,3.739,0.19625,0.90981,2016,NotHappy
Yemen,0.2287,0.57939,0.09821,0.05892,3.724,0.31048,0.47493,2016,NotHappy
Madagascar,0.13684,0.27954,0.2204,0.07506,3.695,0.37109,0.46115,2016,NotHappy
Tanzania,0.3176,0.47155,0.31472,0.05099,3.666,0.357,0.77623,2016,NotHappy
Liberia,0.25748,0.10706,0.24063,0.04852,3.622,0.23165,0.50353,2016,NotHappy
Guinea,0.30953,0.22415,0.29914,0.1192,3.607,0.18829,0.3109,2016,NotHappy
Rwanda,0.5432,0.32846,0.23552,0.50521,3.515,0.31865,0.61586,2016,NotHappy
Benin,0.39747,0.39499,0.2018,0.06681,3.484,0.21028,0.10419,2016,NotHappy
Afghanistan,0.1643,0.38227,0.31268,0.07112,3.36,0.17344,0.11037,2016,NotHappy
Togo,0.34678,0.28123,0.17517,0.11587,3.303,0.24811,0,2016,NotHappy
Syria,0.06912,0.74719,0.48397,0.17233,3.069,0.62994,0.14866,2016,NotHappy
Burundi,0.0432,0.06831,0.2029,0.09419,2.905,0.15747,0.23442,2016,NotHappy
Norway,0.635422587,1.616463184,0.362012237,0.315963835,7.537000179,0.796666503,1.53352356,2017,Happy
Denmark,0.626006722,1.482383013,0.355280489,0.400770068,7.521999836,0.792565525,1.551121593,2017,Happy
Iceland,0.627162635,1.48063302,0.475540221,0.153526559,7.504000187,0.833552122,1.610574007,2017,Happy
Switzerland,0.620070577,1.564979553,0.290549278,0.367007285,7.493999958,0.858131289,1.516911745,2017,Happy
Finland,0.617950857,1.443571925,0.245482773,0.382611543,7.468999863,0.80915767,1.540246725,2017,Happy
Netherlands,0.585384488,1.503944635,0.47048983,0.282661825,7.376999855,0.810696125,1.428939223,2017,Happy
Canada,0.611100912,1.479204416,0.435539722,0.287371516,7.315999985,0.834557652,1.481348991,2017,Happy
New Zealand,0.61406213,1.405706048,0.500005126,0.382816702,7.31400013,0.816759706,1.548195124,2017,Happy
Sweden,0.612924099,1.494387269,0.385399252,0.384398729,7.28399992,0.830875158,1.478162169,2017,Happy
Australia,0.601607382,1.484414935,0.47769925,0.30118373,7.28399992,0.843886793,1.510041952,2017,Happy
Israel,0.405988604,1.375382423,0.330082655,0.0852421,7.212999821,0.838404,1.376289964,2017,Happy
Costa Rica,0.58013165,1.109706283,0.214613229,0.100106589,7.078999996,0.759509265,1.416403651,2017,Happy
Austria,0.56776619,1.487097263,0.316472322,0.221060365,7.006000042,0.815328419,1.459944963,2017,Happy
United States,0.505740523,1.546259284,0.392578781,0.135638788,6.993000031,0.774286628,1.419920564,2017,Happy
Ireland,0.573110342,1.535706639,0.427858323,0.298388153,6.977000237,0.809782624,1.558231115,2017,Happy
Germany,0.562511384,1.487923384,0.33626917,0.276731938,6.951000214,0.798950732,1.472520351,2017,Happy
Belgium,0.539770722,1.463780761,0.231503338,0.251343131,6.890999794,0.818091869,1.462312698,2017,Happy
Luxembourg,0.596627891,1.741943598,0.283180982,0.318834424,6.862999916,0.845089495,1.457583666,2017,Happy
United Kingdom,0.508190036,1.44163394,0.492774159,0.265428066,6.714000225,0.805335939,1.49646008,2017,Happy
Chile,0.376895279,1.25278461,0.326662421,0.082287982,6.65199995,0.819479704,1.284024954,2017,Happy
United Arab Emirates,0.60834527,1.626343369,0.360941947,0.324489564,6.647999763,0.726798236,1.266410232,2017,Happy
Brazil,0.437453747,1.10735321,0.162349895,0.111092761,6.635000229,0.616552353,1.431306005,2017,Happy
Czech Republic,0.490946174,1.352682352,0.088106759,0.036872927,6.609000206,0.754444003,1.433885217,2017,Happy
Argentina,0.494519204,1.185295463,0.109457061,0.059739888,6.598999977,0.695137084,1.440451145,2017,Happy
Mexico,0.412730008,1.153183818,0.120990433,0.132774115,6.578000069,0.709978998,1.21086216,2017,Happy
Singapore,0.549840569,1.69227767,0.345965981,0.464307785,6.572000027,0.949492395,1.353814363,2017,Happy
Malta,0.588767052,1.343279839,0.574730575,0.153066069,6.52699995,0.821944237,1.488411665,2017,Happy
Uruguay,0.579392254,1.217559695,0.175096929,0.178061873,6.453999996,0.719216824,1.412227869,2017,Happy
Guatemala,0.531310618,0.872001946,0.283488393,0.077223279,6.453999996,0.54023999,1.255585194,2017,Happy
Panama,0.550026834,1.233748436,0.210556939,0.070983924,6.452000141,0.706156135,1.373192549,2017,Happy
France,0.470222116,1.430923462,0.129762307,0.172502428,6.441999912,0.844465852,1.387776852,2017,Happy
Thailand,0.580200732,1.127868772,0.57212311,0.031612735,6.423999786,0.647239029,1.425792456,2017,Happy
Taiwan Province of China,0.361466587,1.433626533,0.258360475,0.063829236,6.421999931,0.793984234,1.384565353,2017,Happy
Spain,0.40878123,1.384397864,0.190133572,0.070914097,6.402999878,0.8889606,1.532090902,2017,Happy
Qatar,0.604130983,1.870765686,0.33047387,0.439299256,6.375,0.710098088,1.27429688,2017,Happy
Colombia,0.477487415,1.070622325,0.149014473,0.046668742,6.356999874,0.595027924,1.402182937,2017,Happy
Saudi Arabia,0.449750572,1.530623555,0.147616014,0.273432255,6.343999863,0.59014833,1.286677599,2017,Happy
Trinidad and Tobago,0.518630743,1.361355901,0.325296462,0.008964816,6.168000221,0.519983292,1.380228519,2017,Happy
Kuwait,0.496337593,1.632952452,0.228289798,0.21515955,6.105000019,0.632105708,1.259698749,2017,Happy
Slovakia,0.295817465,1.325393558,0.136544481,0.024210852,6.09800005,0.712732911,1.505059242,2017,Happy
Bahrain,0.536746919,1.488412261,0.172668487,0.25704217,6.086999893,0.653133035,1.323110461,2017,Happy
Malaysia,0.402264982,1.29121542,0.41660893,0.065600708,6.084000111,0.618784428,1.284646034,2017,Happy
Nicaragua,0.447551847,0.737299204,0.301674217,0.130687982,6.071000099,0.653095961,1.28721571,2017,Happy
Ecuador,0.455198199,1.000820398,0.150112465,0.140134647,6.007999897,0.685636222,1.286168814,2017,Happy
El Salvador,0.43245253,0.909784496,0.078257985,0.08998096,6.002999783,0.596018553,1.182125092,2017,Happy
Poland,0.520342112,1.291787863,0.158465967,0.059307806,5.97300005,0.699475348,1.44571197,2017,Happy
Uzbekistan,0.658248663,0.786441088,0.415983647,0.246528223,5.971000195,0.498272628,1.54896915,2017,Happy
Italy,0.256450713,1.395066619,0.172789648,0.028028091,5.964000225,0.853144348,1.444923282,2017,Happy
Russia,0.373783112,1.281778097,0.052263822,0.032962881,5.962999821,0.547349334,1.469282389,2017,Happy
Belize,0.547509372,0.907975316,0.240015641,0.096581072,5.955999851,0.450191766,1.081417799,2017,Happy
Japan,0.505625546,1.416915178,0.120572768,0.163760737,5.920000076,0.913475871,1.436337829,2017,Happy
Lithuania,0.234231785,1.314582348,0.010164657,0.011865643,5.90199995,0.62894994,1.473516107,2017,Happy
Algeria,0.233335808,1.091864467,0.069436647,0.14609611,5.872000217,0.617584646,1.146217465,2017,Happy
Latvia,0.325707912,1.260748625,0.153074786,0.073842727,5.849999905,0.638566971,1.404714942,2017,Happy
South Korea,0.257921666,1.401678443,0.206674367,0.063282669,5.837999821,0.900214076,1.128274441,2017,Happy
Moldova,0.240729049,0.72887063,0.208779126,0.010091286,5.837999821,0.589465201,1.251825571,2017,Happy
Romania,0.457003742,1.217683911,0.133519918,0.004387901,5.824999809,0.685158312,1.15009129,2017,Happy
Bolivia,0.558732927,0.833756566,0.225560725,0.060477726,5.822999954,0.47363025,1.227619052,2017,Happy
Turkmenistan,0.418271929,1.130776763,0.249924988,0.25927034,5.822000027,0.43772608,1.493149161,2017,Happy
Kazakhstan,0.437454283,1.28455627,0.201964423,0.119282886,5.818999767,0.606041551,1.384369016,2017,Happy
North Cyprus,0.471203625,1.346911311,0.266845703,0.155353352,5.809999943,0.834647238,1.186303377,2017,Happy
Slovenia,0.572575808,1.341205955,0.242649093,0.045128979,5.757999897,0.790828228,1.452518821,2017,Happy
Peru,0.450002879,1.035225272,0.126819715,0.047049087,5.715000153,0.630166113,1.218770385,2017,Happy
Mauritius,0.491247326,1.189395547,0.360933751,0.042181555,5.629000187,0.638007462,1.20956099,2017,Happy
Cyprus,0.355111539,1.355938077,0.271254301,0.041237976,5.620999813,0.844714701,1.131363273,2017,Happy
Estonia,0.47913143,1.32087934,0.098890811,0.183248922,5.611000061,0.695168316,1.4766711,2017,Happy
Belarus,0.295400262,1.15655756,0.155137509,0.156313822,5.568999767,0.637714267,1.444945216,2017,Happy
Libya,0.46573323,1.101803064,0.152073666,0.09261021,5.525000095,0.52016902,1.35756433,2017,Happy
Turkey,0.3007406,1.198274374,0.046693042,0.09967158,5.5,0.637605608,1.337753177,2017,Happy
Paraguay,0.473507792,0.932537317,0.224150658,0.091065913,5.493000031,0.579250693,1.50728488,2017,Happy
"Hong Kong S.A.R., China",0.490968645,1.551674843,0.374465793,0.293933749,5.472000122,0.943062425,1.262790918,2017,Happy
Philippines,0.585214674,0.857699215,0.193513423,0.099331893,5.429999828,0.468009055,1.253917575,2017,Happy
Serbia,0.208715528,1.069317579,0.220125884,0.040903781,5.394999981,0.650784671,1.258189797,2017,Happy
Jordan,0.418421149,0.991012394,0.17217046,0.119803272,5.335999966,0.604590058,1.239088893,2017,Happy
Hungary,0.175863519,1.286011934,0.078401662,0.036636937,5.323999882,0.687763453,1.343133092,2017,Happy
Jamaica,0.474307239,0.925579309,0.233818337,0.055267781,5.31099987,0.641022384,1.368218064,2017,Happy
Croatia,0.255772293,1.222556233,0.248002976,0.04310311,5.293000221,0.701288521,0.967983007,2017,Happy
Kosovo,0.260287941,0.951484382,0.319931448,0.057471618,5.278999805,0.54145205,1.137853503,2017,Happy
China,0.472787708,1.081165791,0.028806841,0.022794275,5.272999763,0.741415501,1.160837412,2017,Happy
Pakistan,0.235215262,0.726883531,0.315446019,0.124348067,5.269000053,0.402047783,0.67269069,2017,Happy
Indonesia,0.443323463,0.995538592,0.611704588,0.015317135,5.262000084,0.492345721,1.274444699,2017,Happy
Venezuela,0.153997123,1.128431201,0.06501963,0.064491123,5.25,0.617144227,1.431337595,2017,Happy
Montenegro,0.194989055,1.121129036,0.197911024,0.088174194,5.236999989,0.667464674,1.238376498,2017,Happy
Morocco,0.408158332,0.878114581,0.032209955,0.087763183,5.235000134,0.597710669,0.774864435,2017,Happy
Azerbaijan,0.398155838,1.153601766,0.04526934,0.180987507,5.234000206,0.540775776,1.152400255,2017,Happy
Dominican Republic,0.552589834,1.079373837,0.18696785,0.113945253,5.230000019,0.574873745,1.402416706,2017,Happy
Greece,0.095731251,1.289487481,0,0.043289777,5.227000237,0.810198903,1.239414573,2017,Happy
Lebanon,0.288515985,1.074987531,0.264450759,0.03751383,5.224999905,0.735081077,1.129624248,2017,Happy
Portugal,0.4984653,1.315175295,0.095102713,0.015869452,5.195000172,0.795843542,1.367043018,2017,Happy
Bosnia and Herzegovina,0.204403177,0.982409418,0.328867495,0,5.18200016,0.705186307,1.069335938,2017,Happy
Honduras,0.34807986,0.730573118,0.236188874,0.073345453,5.181000233,0.58256948,1.143944979,2017,Happy
Macedonia,0.325905979,1.064577937,0.253760964,0.060277794,5.175000191,0.644948184,1.207893014,2017,Happy
Somalia,0.602126956,0.022643184,0.291631311,0.282410324,5.151000023,0.113989137,0.721151352,2017,Happy
Vietnam,0.571055591,0.788547575,0.234968051,0.087633237,5.073999882,0.652168989,1.277491331,2017,Happy
Nigeria,0.394952565,0.783756256,0.230947196,0.026121566,5.073999882,0.05691573,1.215770483,2017,Happy
Tajikistan,0.471566707,0.524713635,0.248997644,0.146377146,5.040999889,0.529235125,1.271463275,2017,Happy
Bhutan,0.501537681,0.885416389,0.474054545,0.17338039,5.011000156,0.495879292,1.340126514,2017,Happy
Kyrgyzstan,0.454943389,0.596220076,0.428580374,0.039439179,5.004000187,0.553457797,1.394238591,2017,Happy
Nepal,0.440305948,0.479820192,0.394096166,0.072975546,4.961999893,0.504130781,1.179283261,2017,Happy
Mongolia,0.394143969,1.027235866,0.33846423,0.032902289,4.954999924,0.557783484,1.493011236,2017,Happy
South Africa,0.479246736,1.054698706,0.13936238,0.072509497,4.828999996,0.18708007,1.384788632,2017,Happy
Tunisia,0.28968069,1.007265806,0.049693357,0.086723149,4.804999828,0.613212049,0.86835146,2017,Happy
Palestinian Territories,0.254711062,0.716249228,0.114173174,0.089282602,4.775000095,0.565666974,1.155647159,2017,Happy
Egypt,0.282110155,0.989701807,0.128631443,0.114381365,4.735000134,0.520187259,0.997471392,2017,Happy
Bulgaria,0.289231718,1.161459088,0.113177694,0.011051531,4.714000225,0.70821768,1.434379458,2017,Happy
Sierra Leone,0.318697691,0.368420929,0.293040901,0.071095176,4.709000111,0.005564754,0.984136045,2017,Happy
Cameroon,0.430388749,0.564305365,0.236298457,0.051306631,4.695000172,0.132892117,0.946018219,2017,Happy
Iran,0.249322608,1.156873107,0.387242913,0.048761073,4.691999912,0.639333189,0.711551249,2017,Happy
Albania,0.381498635,0.996192753,0.201312944,0.039864216,4.644000053,0.731159747,0.803685248,2017,Happy
Bangladesh,0.478356659,0.586682975,0.172255352,0.123717859,4.607999802,0.533241034,0.735131741,2017,Happy
Namibia,0.520303547,0.964434326,0.077133745,0.093146972,4.573999882,0.338611811,1.098470807,2017,Happy
Kenya,0.452763766,0.560479462,0.444860309,0.064641319,4.552999973,0.30998835,1.067950726,2017,Happy
Mozambique,0.480791092,0.23430565,0.322228104,0.179436386,4.550000191,0.106654435,0.870701015,2017,Happy
Myanmar,0.514492035,0.36711055,0.838075161,0.188816205,4.545000076,0.397522569,1.123235941,2017,Happy
Senegal,0.377922267,0.479309022,0.183468893,0.115460448,4.534999847,0.409362853,1.179691911,2017,Happy
Zambia,0.461603492,0.636406779,0.249580145,0.07821355,4.513999939,0.257835895,1.003187299,2017,Happy
Iraq,0.288555533,1.102710485,0.199637264,0.107215755,4.497000217,0.50118047,0.978613198,2017,Happy
Gabon,0.312328577,1.198210239,0.043785378,0.076046787,4.465000153,0.356578588,1.155620217,2017,Happy
Ethiopia,0.408842742,0.339233845,0.31265074,0.165455714,4.460000038,0.353409708,0.864669204,2017,Happy
Sri Lanka,0.561213255,1.009850144,0.490863562,0.073653966,4.440000057,0.625130832,1.259976387,2017,Happy
Armenia,0.198303267,0.900596738,0.083488092,0.026674422,4.375999928,0.637524426,1.007483721,2017,Happy
India,0.469987005,0.792221248,0.231538489,0.092226885,4.315000057,0.455427617,0.754372597,2017,Happy
Mauritania,0.096098043,0.648457289,0.201870024,0.136957005,4.291999817,0.28534928,1.27203083,2017,Happy
Congo (Brazzaville),0.435025871,0.808964252,0.120852128,0.079618134,4.290999889,0.289957434,0.832044363,2017,Happy
Georgia,0.309410036,0.950612664,0.054008815,0.251666635,4.285999775,0.649546981,0.570614934,2017,Happy
Congo (Kinshasa),0.235961348,0.092102349,0.246455833,0.060241356,4.28000021,0.191407025,1.229023457,2017,Happy
Mali,0.306613743,0.476180494,0.183354199,0.104970247,4.190000057,0.169365674,1.281473398,2017,Happy
Ivory Coast,0.447706193,0.603048921,0.20123747,0.130061775,4.179999828,0.04864217,0.90478003,2017,Happy
Cambodia,0.633375823,0.601765096,0.385922968,0.068105951,4.168000221,0.429783404,1.006238341,2017,Happy
Sudan,0.014995855,0.659516692,0.182317451,0.08984752,4.138999939,0.290920824,1.21400857,2017,Happy
Ghana,0.423026294,0.667224824,0.256923944,0.02533637,4.119999886,0.295637727,0.873664737,2017,Happy
Ukraine,0.122974776,0.894651949,0.270061463,0.023029471,4.096000195,0.575903952,1.394537568,2017,Happy
Uganda,0.443185955,0.381430715,0.325766057,0.057069719,4.080999851,0.217632607,1.129827738,2017,Happy
Burkina Faso,0.324367851,0.350227714,0.250864685,0.120328106,4.032000065,0.215844259,1.043280005,2017,Happy
Niger,0.363658696,0.161925331,0.228673846,0.138572946,4.027999878,0.268505007,0.993025005,2017,Happy
Malawi,0.466914654,0.233442038,0.28717047,0.072711654,3.970000029,0.315089583,0.512568831,2017,NotHappy
Chad,0.162342027,0.438012987,0.21611385,0.053581882,3.936000109,0.041134715,0.953855872,2017,NotHappy
Zimbabwe,0.336384207,0.375846535,0.189143494,0.095375381,3.875,0.196763754,1.083095908,2017,NotHappy
Lesotho,0.390661299,0.521021247,0.157497272,0.11909464,3.808000088,0,1.190095186,2017,NotHappy
Angola,0,0.85842818,0.09792649,0.069720335,3.795000076,0.049868666,1.10441196,2017,NotHappy
Afghanistan,0.10617952,0.401477218,0.311870933,0.06115783,3.79399991,0.180746779,0.581543326,2017,NotHappy
Botswana,0.505196333,1.122094154,0.099348448,0.098583199,3.766000032,0.341755509,1.221554995,2017,NotHappy
Benin,0.425962776,0.431085408,0.207948461,0.060929015,3.657000065,0.209930211,0.435299844,2017,NotHappy
Madagascar,0.189196765,0.305808693,0.20873253,0.067231975,3.644000053,0.375223309,0.913020372,2017,NotHappy
Haiti,0.030369857,0.368610263,0.489203781,0.09987215,3.602999926,0.27732113,0.640449822,2017,NotHappy
Yemen,0.249463722,0.591683447,0.104125209,0.056767423,3.592999935,0.310080916,0.935382247,2017,NotHappy
South Sudan,0.147062436,0.397248626,0.285670817,0.116793513,3.59100008,0.163486004,0.601323128,2017,NotHappy
Liberia,0.332881182,0.119041793,0.266549885,0.038948249,3.532999992,0.229918197,0.872117937,2017,NotHappy
Guinea,0.348587513,0.24454993,0.264815092,0.110937618,3.506999969,0.194129139,0.791244686,2017,NotHappy
Togo,0.380426139,0.305444717,0.196896151,0.095665015,3.494999886,0.247105569,0.43188253,2017,NotHappy
Rwanda,0.581843853,0.368745893,0.252756029,0.455220014,3.470999956,0.326424807,0.945707023,2017,NotHappy
Syria,0.081539445,0.777153134,0.493663728,0.151347131,3.461999893,0.500533342,0.396102607,2017,NotHappy
Tanzania,0.390017778,0.511135876,0.354256362,0.066035107,3.348999977,0.364509284,1.041989803,2017,NotHappy
Burundi,0.059900753,0.091622569,0.204435185,0.084147945,2.904999971,0.151610792,0.629793584,2017,NotHappy
Central African Republic,0.270842046,0,0.280876487,0.056565076,2.693000078,0.018772686,0,2017,NotHappy
Finland,0.681,1.305,0.202,0.393,7.632,0.874,1.592,2018,Happy
Norway,0.686,1.456,0.286,0.34,7.594,0.861,1.582,2018,Happy
Denmark,0.683,1.351,0.284,0.408,7.555,0.868,1.59,2018,Happy
Iceland,0.677,1.343,0.353,0.138,7.495,0.914,1.644,2018,Happy
Switzerland,0.66,1.42,0.256,0.357,7.487,0.927,1.549,2018,Happy
Netherlands,0.638,1.361,0.333,0.295,7.441,0.878,1.488,2018,Happy
Canada,0.653,1.33,0.321,0.291,7.328,0.896,1.532,2018,Happy
New Zealand,0.669,1.268,0.365,0.389,7.324,0.876,1.601,2018,Happy
Sweden,0.659,1.355,0.285,0.383,7.314,0.913,1.501,2018,Happy
Australia,0.647,1.34,0.361,0.302,7.272,0.91,1.573,2018,Happy
United Kingdom,0.464,1.244,0.262,0.082,7.19,0.888,1.433,2018,Happy
Austria,0.617,1.341,0.242,0.224,7.139,0.891,1.504,2018,Happy
Costa Rica,0.632,1.01,0.143,0.101,7.072,0.817,1.459,2018,Happy
Ireland,0.614,1.448,0.307,0.306,6.977,0.876,1.583,2018,Happy
Germany,0.586,1.34,0.273,0.28,6.965,0.861,1.474,2018,Happy
Belgium,0.583,1.324,0.188,0.24,6.927,0.894,1.483,2018,Happy
Luxembourg,0.632,1.576,0.196,0.321,6.91,0.896,1.52,2018,Happy
United States,0.547,1.398,0.291,0.133,6.886,0.819,1.471,2018,Happy
Israel,0.533,1.301,0.354,0.272,6.814,0.883,1.559,2018,Happy
United Arab Emirates,0.284,2.096,0.186,0,6.774,0.67,0.776,2018,Happy
Czech Republic,0.543,1.233,0.064,0.034,6.711,0.854,1.489,2018,Happy
Malta,0.645,1.27,0.376,0.142,6.627,0.884,1.525,2018,Happy
France,0.52,1.293,0.098,0.176,6.489,0.908,1.466,2018,Happy
Mexico,0.479,1.038,0.069,0.095,6.488,0.761,1.252,2018,Happy
Chile,0.431,1.131,0.197,0.061,6.476,0.808,1.331,2018,Happy
Taiwan,0.418,1.365,0.151,0.078,6.441,0.857,1.436,2018,Happy
Panama,0.597,1.112,0.125,0.063,6.43,0.759,1.438,2018,Happy
Brazil,0.493,0.986,0.11,0.088,6.419,0.675,1.474,2018,Happy
Argentina,0.57,1.073,0.062,0.054,6.388,0.744,1.468,2018,Happy
Guatemala,0.604,0.781,0.179,0.071,6.382,0.608,1.268,2018,Happy
Uruguay,0.625,1.093,0.13,0.155,6.379,0.771,1.459,2018,Happy
Qatar,0.654,1.649,0.256,0.171,6.374,0.748,1.303,2018,Happy
Saudi Arabia,0.509,1.379,0.098,0.127,6.371,0.633,1.331,2018,Happy
Singapore,0.631,1.529,0.261,0.457,6.343,1.008,1.451,2018,Happy
Malaysia,0.356,1.161,0.311,0.059,6.322,0.669,1.258,2018,Happy
Spain,0.449,1.251,0.142,0.074,6.31,0.965,1.538,2018,Happy
Colombia,0.531,0.96,0.099,0.039,6.26,0.635,1.439,2018,Happy
Trinidad & Tobago,0.575,1.223,0.171,0.019,6.192,0.564,1.492,2018,Happy
Slovakia,0.354,1.21,0.118,0.014,6.173,0.776,1.537,2018,Happy
El Salvador,0.461,0.806,0.065,0.082,6.167,0.639,1.231,2018,Happy
Nicaragua,0.527,0.668,0.208,0.128,6.141,0.7,1.319,2018,Happy
Poland,0.546,1.176,0.108,0.064,6.123,0.781,1.448,2018,Happy
Bahrain,0.594,1.338,0.243,0.123,6.105,0.698,1.366,2018,Happy
Uzbekistan,0.724,0.719,0.328,0.259,6.096,0.605,1.584,2018,Happy
Kuwait,0.554,1.474,0.167,0.106,6.083,0.675,1.301,2018,Happy
Thailand,0.637,1.016,0.364,0.029,6.072,0.707,1.417,2018,Happy
Italy,0.281,1.264,0.137,0.028,6,0.946,1.501,2018,Happy
Ecuador,0.556,0.889,0.114,0.12,5.973,0.736,1.33,2018,Happy
Belize,0.593,0.807,0.183,0.089,5.956,0.474,1.101,2018,Happy
Lithuania,0.35,1.197,0.026,0.006,5.952,0.716,1.527,2018,Happy
Slovenia,0.633,1.219,0.16,0.051,5.948,0.856,1.506,2018,Happy
Romania,0.528,1.116,0.088,0.001,5.945,0.726,1.219,2018,Happy
Latvia,0.363,1.148,0.092,0.066,5.933,0.671,1.454,2018,Happy
Japan,0.553,1.294,0.079,0.15,5.915,0.988,1.462,2018,Happy
Mauritius,0.584,1.09,0.245,0.05,5.891,0.684,1.387,2018,Happy
Jamaica,0.575,0.819,0.096,0.031,5.89,0.693,1.493,2018,Happy
South Korea,0.244,1.266,0.175,0.051,5.875,0.955,1.204,2018,Happy
Northern Cyprus,0.495,1.229,0.179,0.154,5.835,0.909,1.211,2018,Happy
Russia,0.399,1.151,0.065,0.025,5.81,0.599,1.479,2018,Happy
Kazakhstan,0.454,1.143,0.148,0.121,5.79,0.631,1.516,2018,Happy
Cyprus,0.423,1.229,0.202,0.035,5.762,0.909,1.191,2018,Happy
Bolivia,0.606,0.751,0.141,0.054,5.752,0.508,1.223,2018,Happy
Estonia,0.553,1.2,0.086,0.174,5.739,0.737,1.532,2018,Happy
Paraguay,0.541,0.835,0.162,0.074,5.681,0.615,1.522,2018,Happy
Peru,0.53,0.934,0.092,0.034,5.663,0.674,1.249,2018,Happy
Kosovo,0.448,0.855,0.274,0.023,5.662,0.578,1.23,2018,Happy
Moldova,0.232,0.657,0.171,0,5.64,0.62,1.301,2018,Happy
Turkmenistan,0.417,1.016,0.199,0.037,5.636,0.517,1.533,2018,Happy
Hungary,0.259,1.171,0.061,0.022,5.62,0.732,1.401,2018,Happy
Libya,0.496,0.985,0.116,0.148,5.566,0.553,1.35,2018,Happy
Philippines,0.643,0.775,0.12,0.105,5.524,0.513,1.312,2018,Happy
Honduras,0.459,0.62,0.197,0.074,5.504,0.622,1.205,2018,Happy
Belarus,0.307,1.039,0.101,0.154,5.483,0.7,1.498,2018,Happy
Turkey,0.324,1.148,0.106,0.109,5.483,0.686,1.38,2018,Happy
Pakistan,0.334,0.652,0.216,0.113,5.472,0.424,0.81,2018,Happy
Hong Kong,0.524,1.405,0.246,0.291,5.43,1.03,1.29,2018,Happy
Portugal,0.562,1.188,0.055,0.017,5.41,0.884,1.429,2018,Happy
Serbia,0.288,0.975,0.134,0.043,5.398,0.685,1.369,2018,Happy
Greece,0.131,1.154,0,0.044,5.358,0.879,1.202,2018,Happy
Lebanon,0.503,0.965,0.214,0.136,5.358,0.785,1.179,2018,Happy
Montenegro,0.259,1.017,0.111,0.081,5.347,0.729,1.279,2018,Happy
Croatia,0.38,1.115,0.12,0.039,5.321,0.737,1.161,2018,Happy
Dominican Republic,0.578,0.982,0.12,0.106,5.302,0.614,1.441,2018,Happy
Algeria,0.077,0.979,0.055,0.135,5.295,0.687,1.154,2018,Happy
Morocco,0.46,0.779,0.026,0.074,5.254,0.669,0.797,2018,Happy
China,0.597,0.989,0.029,0.103,5.246,0.799,1.142,2018,Happy
Azerbaijan,0.43,1.024,0.031,0.176,5.201,0.603,1.161,2018,Happy
Tajikistan,0.292,0.474,0.187,0.034,5.199,0.598,1.166,2018,Happy
Macedonia,0.394,0.959,0.173,0.052,5.185,0.691,1.239,2018,Happy
Jordan,0.468,0.822,0.13,0.134,5.161,0.645,1.265,2018,Happy
Nigeria,0.462,0.689,0.201,0.032,5.155,0.048,1.172,2018,Happy
Kyrgyzstan,0.54,0.53,0.281,0.035,5.131,0.594,1.416,2018,Happy
Bosnia and Herzegovina,0.28,0.915,0.216,0,5.129,0.758,1.078,2018,Happy
Mongolia,0.395,0.914,0.253,0.032,5.125,0.575,1.517,2018,Happy
Vietnam,0.618,0.715,0.177,0.079,5.103,0.702,1.365,2018,Happy
Indonesia,0.538,0.899,0.484,0.018,5.093,0.522,1.215,2018,Happy
Bhutan,0.541,0.796,0.364,0.171,5.082,0.527,1.335,2018,Happy
Somalia,0.674,0,0.238,0.282,4.982,0.115,0.712,2018,Happy
Cameroon,0.454,0.535,0.183,0.043,4.975,0.182,0.891,2018,Happy
Bulgaria,0.359,1.054,0.064,0.009,4.933,0.712,1.515,2018,Happy
Nepal,0.526,0.425,0.302,0.078,4.88,0.539,1.228,2018,Happy
Venezuela,0.133,0.996,0.056,0.052,4.806,0.657,1.469,2018,Happy
Gabon,0.356,1.036,0.032,0.052,4.758,0.404,1.164,2018,Happy
Palestinian Territories,0.266,0.642,0.086,0.076,4.743,0.602,1.217,2018,Happy
South Africa,0.516,0.94,0.103,0.056,4.724,0.33,1.41,2018,Happy
Iran,0.459,1.059,0.282,0.129,4.707,0.691,0.771,2018,Happy
Ivory Coast,0.467,0.541,0.146,0.103,4.671,0.08,0.872,2018,Happy
Ghana,0.499,0.592,0.212,0.029,4.657,0.337,0.896,2018,Happy
Senegal,0.406,0.429,0.138,0.082,4.631,0.433,1.117,2018,Happy
Laos,0.626,0.72,0.23,0.174,4.623,0.441,1.034,2018,Happy
Tunisia,0.271,0.9,0.04,0.063,4.592,0.69,0.906,2018,Happy
Albania,0.419,0.916,0.149,0.032,4.586,0.79,0.817,2018,Happy
